module,function,datetime,provider,level,msg
FlaLD_BepressDC,log,"2021-08-04 09:11:38,697",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1001"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,705",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1007"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,710",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1010"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,712",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1011"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,735",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccwps-1001"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,739",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccwps-1002"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,740",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccwps-1003"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,749",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1027"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,752",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1029"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,759",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:sercrp-1004"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,762",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1030"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,764",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1031"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,766",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1032"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,767",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1033"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,775",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1038"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,778",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1040"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,781",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1042"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,785",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1043"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,788",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1045"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,789",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1046"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,793",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1048"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,794",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1049"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,796",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1050"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,797",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1051"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,799",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:sercrp-1007"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,800",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1052"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,803",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1054"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,806",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1056"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,811",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccwps-1007"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,817",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1000"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,819",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1002"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,821",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:ecxdpeb-1003"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,822",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:ecxdpeb-1004"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,824",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:ecxdpeb-1005"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,828",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1059"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,829",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1060"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,831",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:laccopsd-1061"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,832",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:ecxdpeb-1008"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,835",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1028"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,837",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1029"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,839",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1030"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,843",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1032"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,846",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1033"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,849",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1034"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,852",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1035"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,854",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1036"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,857",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1037"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,859",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1039"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,861",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1040"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,863",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1041"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,866",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1042"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,868",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1043"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,870",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1044"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,873",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1045"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,875",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1046"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,877",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1047"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,879",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1048"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,881",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1049"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,884",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1050"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,886",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1051"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,888",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1052"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,891",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1053"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,893",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1054"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,895",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1055"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,898",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1056"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,900",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1057"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,903",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1058"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,906",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1059"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,908",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1060"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,911",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1061"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,913",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1062"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,916",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1063"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,919",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1064"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,922",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1065"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,924",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1066"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,927",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1067"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,929",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1068"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,932",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1069"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,935",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1070"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,937",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1071"
